.\gitmap\clonenext\repodetect.go|18|bare bool return|func IsGitRepo(path string) bool {
.\gitmap\clonenext\repodetect.go|26|bare bool return|func isGitRepo(path string) bool {
.\gitmap\clonenext\repodetect.go|37|bare bool return|func HasGitSubdir(root string) bool {
.\gitmap\clonenext\version.go|37|raw error return|func ResolveTarget(parsed ParsedRepo, arg string) (int, error) {
.\gitmap\clonenext\version.go|45|fmt.Errorf|return 0, fmt.Errorf("invalid version argument: %s (expected v++, v+1, or vN)", arg)
.\gitmap\clonenext\version.go|51|fmt.Errorf|return 0, fmt.Errorf("invalid version argument: %s (expected v++, v+1, or vN)", arg)
.\gitmap\clonenext\version.go|54|fmt.Errorf|return 0, fmt.Errorf("invalid version argument: %s (version must be a positive integer)", arg)
.\gitmap\clonenext\version_test.go|48|swallowed error|_, err = ResolveTarget(p, "xyz")
.\gitmap\clonenext\version_test.go|54|swallowed error|_, err = ResolveTarget(p, "v0")
.\gitmap\clonenext\version_test.go|60|swallowed error|_, err = ResolveTarget(p, "v-3")
.\gitmap\clonenext\version_test.go|66|swallowed error|_, err = ResolveTarget(p, "vabc")
.\gitmap\clonenow\execute.go|128|bare bool return|func runGitClone(r Row, url, dest, cwd string) (string, bool) {
.\gitmap\clonenow\execute.go|169|raw error return|func trimGitError(stderr string, err error) string {
.\gitmap\clonenow\execute_idempotent.go|83|bare bool return|func isGitWorkTree(absDest string) bool {
.\gitmap\clonenow\execute_idempotent.go|155|bare bool return|func repoMatches(r Row, url string, state existingRepoState) bool {
.\gitmap\clonenow\execute_idempotent.go|172|bare bool return|func urlsMatch(a, b string) bool {
.\gitmap\clonenow\execute_idempotent.go|285|bare bool return|func runGitFetch(absDest string) (string, bool) {
.\gitmap\clonenow\execute_idempotent.go|300|bare bool return|func runGitCheckout(absDest, branch string) (string, bool) {
.\gitmap\clonenow\execute_interactive.go|11|bare bool return|func runInteractiveGitClone(cmd *exec.Cmd) (string, bool) {
.\gitmap\clonenow\execute_interactive.go|22|bare bool return|func isSSHCloneURL(url string) bool {
.\gitmap\clonenow\execute_test.go|124|bare bool return|func bytesContains(haystack, needle string) bool {
.\gitmap\clonenow\parse.go|37|raw error return|func ParseFile(path, format, mode, onExists string) (Plan, error) {
.\gitmap\clonenow\parse.go|40|fmt.Errorf|return Plan{}, fmt.Errorf(constants.ErrCloneNowAbsPath, path, err)
.\gitmap\clonenow\parse.go|56|fmt.Errorf|return Plan{}, fmt.Errorf(constants.ErrCloneNowEmpty, abs)
.\gitmap\clonenow\parse.go|72|raw error return|func detectFormat(path string) (string, error) {
.\gitmap\clonenow\parse.go|83|fmt.Errorf|return "", fmt.Errorf(constants.ErrCloneNowUnsupportedExt, ext, path)
.\gitmap\clonenow\parse.go|89|raw error return|func parseByFormat(path, format string) ([]Row, error) {
.\gitmap\clonenow\parse.go|92|fmt.Errorf|return nil, fmt.Errorf(constants.ErrCloneNowOpen, path, err)
.\gitmap\clonenow\parse.go|110|raw error return|func parseJSONWithSchema(f io.Reader) ([]Row, error) {
.\gitmap\clonenow\parse.go|113|fmt.Errorf|return nil, fmt.Errorf(constants.ErrCloneNowJSONDecode, err)
.\gitmap\clonenow\parse.go|120|fmt.Errorf|return nil, fmt.Errorf(constants.ErrCloneNowJSONDecode, err)
.\gitmap\clonenow\parse.go|130|raw error return|func parseCSVWithSchema(f io.Reader) ([]Row, error) {
.\gitmap\clonenow\parse.go|133|fmt.Errorf|return nil, fmt.Errorf(constants.ErrCloneNowCSVRead, err)
.\gitmap\clonenow\parse.go|140|fmt.Errorf|return nil, fmt.Errorf(constants.ErrCloneNowCSVRead, err)
.\gitmap\clonenow\parse.go|148|fmt.Errorf|return nil, fmt.Errorf(constants.ErrCloneNowCSVRead, err)
.\gitmap\clonenow\parse.go|160|raw error return|func parseCSVByHeaderName(r io.Reader) ([]model.ScanRecord, error) {
.\gitmap\clonenow\parse.go|199|bare bool return|func headerHasURL(idx map[string]int) bool {
.\gitmap\clonenow\parsetext.go|22|raw error return|func parseTextRows(r io.Reader) ([]Row, error) {
.\gitmap\clonenow\parsetext.go|41|fmt.Errorf|return nil, fmt.Errorf(constants.ErrCloneNowTextRead, err)
.\gitmap\clonenow\parsetext.go|53|bare bool return|func textRowFromLine(line string) (Row, bool) {
.\gitmap\clonenow\parsetext.go|80|bare bool return|func extractCloneArgs(fields []string) (string, string, bool) {
.\gitmap\clonenow\parsetext.go|117|bare bool return|func isSSHURL(url string) bool {
.\gitmap\clonenow\parse_schema.go|60|raw error return|func validateCSVSchema(r io.Reader) error {
.\gitmap\clonenow\parse_schema.go|66|fmt.Errorf|return fmt.Errorf(constants.ErrCloneNowEmptyCSV)
.\gitmap\clonenow\parse_schema.go|69|fmt.Errorf|return fmt.Errorf(constants.ErrCloneNowCSVRead, err)
.\gitmap\clonenow\parse_schema.go|84|raw error return|func validateCSVBody(cr *csv.Reader, header []string) error {
.\gitmap\clonenow\parse_schema.go|93|fmt.Errorf|return fmt.Errorf(constants.ErrCloneNowCSVRowRead, dataRow, err)
.\gitmap\clonenow\parse_schema.go|96|fmt.Errorf|return fmt.Errorf(constants.ErrCloneNowCSVRowMissingURL, dataRow)
.\gitmap\clonenow\parse_schema.go|118|bare bool return|func rowHasURL(rec []string, urlIdxs []int) bool {
.\gitmap\clonenow\parse_schema.go|137|raw error return|func validateCSVHeader(header []string) error {
.\gitmap\clonenow\parse_schema.go|146|fmt.Errorf|return fmt.Errorf(constants.ErrCloneNowUnknownCSVField, name, knownFieldList())
.\gitmap\clonenow\parse_schema.go|153|fmt.Errorf|return fmt.Errorf(constants.ErrCloneNowCSVMissingURLCol)
.\gitmap\clonenow\parse_schema_json.go|23|raw error return|func validateJSONSchema(data []byte) error {
.\gitmap\clonenow\parse_schema_json.go|26|fmt.Errorf|return fmt.Errorf(constants.ErrCloneNowJSONShape, err)
.\gitmap\clonenow\parse_schema_json.go|41|raw error return|func validateJSONElement(i int, raw json.RawMessage) error {
.\gitmap\clonenow\parse_schema_json.go|44|fmt.Errorf|return fmt.Errorf(constants.ErrCloneNowJSONRowNotObject,
.\gitmap\clonenow\parse_schema_json.go|55|raw error return|func validateJSONRow(i int, obj map[string]json.RawMessage) error {
.\gitmap\clonenow\parse_schema_json.go|58|fmt.Errorf|return fmt.Errorf(constants.ErrCloneNowUnknownJSONField,
.\gitmap\clonenow\parse_schema_json.go|63|fmt.Errorf|return fmt.Errorf(constants.ErrCloneNowMissingURL, i+1)
.\gitmap\clonenow\parse_schema_json.go|100|bare bool return|func hasJSONURL(obj map[string]json.RawMessage) bool {
.\gitmap\clonenow\parse_schema_json.go|107|bare bool return|func jsonStringNonEmpty(raw json.RawMessage) bool {
.\gitmap\clonenow\render.go|23|raw error return|func Render(w io.Writer, plan Plan) error {
.\gitmap\clonenow\render.go|40|raw error return|func renderRow(w io.Writer, idx, total int, r Row, mode string) error {
.\gitmap\clonenow\render.go|60|raw error return|func RenderSummary(w io.Writer, results []Result) error {
.\gitmap\clonepick\parse.go|24|raw error return|func ParseArgs(rawURL, rawPaths string, flags Flags) (Plan, error) {
.\gitmap\clonepick\parse.go|112|raw error return|func validateMode(mode string) error {
.\gitmap\clonepick\parse.go|114|fmt.Errorf|return fmt.Errorf(constants.ErrClonePickBadMode, mode)
.\gitmap\clonepick\parse.go|122|raw error return|func validateDepth(depth int) error {
.\gitmap\clonepick\parse.go|124|fmt.Errorf|return fmt.Errorf(constants.ErrClonePickBadDepth, depth)
.\gitmap\clonepick\parse.go|133|raw error return|func resolveURL(raw, mode string) (string, error) {
